seed,result,time (seconds)
357,solved,0.042
358,solved,0.001
359,solved,0.337
360,solved,58.195
361,unsolvable,0.851
362,solved,2.931
363,solved,17.869
364,unsolvable,61.163
365,solved,2.021
366,solved,0.001
367,solved,1.243
368,solved,6.875
369,solved,0
370,solved,0
371,solved,0.001
372,solved,0
373,unsolvable,0.271
374,solved,0
375,solved,0
376,solved,0
377,solved,0.002
378,solved,0
379,solved,0
380,unsolvable,16.642
381,solved,0
382,solved,0
383,solved,0
384,solved,0.002
385,solved,0.002
386,solved,0
387,solved,0.701
388,solved,0
389,solved,0.612
390,solved,13.484
391,solved,0.004
392,solved,0.003
393,solved,0.776
394,unsolvable,0.097
395,solved,0.781
396,solved,0
397,solved,0.012
398,unsolvable,20.727
399,solved,0.023
400,solved,0.193
401,solved,0.22
402,solved,0
403,unsolvable,0
404,solved,0.149
405,solved,0.224
406,solved,1.519
407,solved,0.001
408,solved,0
409,unsolvable,44.636
410,solved,0
411,solved,0.661
412,solved,0
413,solved,0
414,solved,0.027
415,unsolvable,0.003
416,solved,0.093
417,solved,6.289
418,solved,0.006
419,solved,0.036
420,solved,0
421,solved,0.108
422,unsolvable,0
423,solved,0.002
424,solved,0
425,solved,0.393
426,solved,0.012
427,solved,0.004
428,solved,0.148
429,solved,0
430,solved,0.001
431,unsolvable,41.113
432,solved,0.012
433,solved,77.603
434,solved,0.044
435,solved,0.003
436,solved,0
437,unsolvable,0
438,solved,0
439,solved,1.618
440,solved,0.01
441,solved,0
442,solved,0.017
443,solved,0
444,solved,0
445,solved,20.072
446,solved,0
447,solved,0.082
448,solved,0.313
449,solved,0.075
450,solved,0.001
451,solved,0
452,unsolvable,0
453,solved,0.001
454,solved,0
455,solved,0.012
456,solved,49.792
457,solved,0.096
458,solved,0
459,solved,0
460,solved,0.224
461,solved,0.043
462,unsolvable,0.004
463,solved,0.003
464,unsolvable,3.032
465,solved,0
466,solved,0.001
467,solved,0
468,solved,0
469,solved,103.937
470,solved,0.027
471,solved,0.002
472,solved,0.001
473,solved,0
474,solved,0
475,solved,0.01
476,unsolvable,0
477,unsolvable,0.223
478,solved,0.279
479,unsolvable,28.792
480,solved,0
481,solved,0.005
482,solved,0.5
483,solved,0
484,solved,0.269
485,solved,0
486,solved,0.038
487,solved,0.001
488,solved,0
489,solved,3.198
490,solved,0.687
491,solved,0.002
492,solved,0.02
493,solved,0.003
494,solved,0.036
495,solved,0.031
496,solved,0
497,solved,0
498,solved,0.599
499,solved,0.002
500,solved,0
501,solved,0
502,solved,0
503,solved,0.397
504,unsolvable,0
505,solved,0.125
506,solved,0.022
507,solved,0.015
508,unsolvable,0.104
509,solved,0.104
510,solved,0
511,solved,0
512,solved,7.343
513,solved,0
514,solved,0
515,solved,0.014
516,solved,0.019
517,solved,0.001
518,solved,0.022
519,solved,0.014
520,unsolvable,0.007
521,solved,2.408
522,solved,0.006
523,unsolvable,250.24
524,solved,0.159
525,solved,0.94
526,solved,0.001
527,unsolvable,0.392
528,unsolvable,6.734
529,solved,0.035
530,solved,0
531,solved,0.018
532,solved,0.003
533,unsolvable,2.693
534,solved,0
535,solved,0.085
536,unsolvable,15.989
537,solved,0
538,solved,0.191
539,solved,0.006
540,unsolvable,0.222
541,solved,0.002
542,solved,0.022
543,solved,0.006
544,solved,0
545,solved,34.457
546,solved,0.001
547,solved,0.006
548,solved,0.005
549,solved,0
550,solved,1.178
551,unsolvable,0
552,solved,0
553,unsolvable,0.82
554,solved,3.087
555,solved,0
556,solved,0
557,solved,0.016
558,unsolvable,340.774
559,solved,17.63
560,solved,0
561,solved,0.012
562,solved,0.001
563,solved,0.004
564,solved,0
565,solved,0
566,solved,0
567,solved,0.002
568,solved,0.001
569,unsolvable,0.002
570,solved,0.218
571,solved,0
572,unsolvable,14.569
573,solved,0
574,solved,0.003
575,solved,0
576,solved,0.153
577,solved,0
578,solved,0.008
579,solved,0
580,solved,0
581,solved,0.016
582,solved,0
583,unsolvable,13.936
584,solved,0.001
585,solved,1.422
586,unsolvable,0
587,unsolvable,0.023
588,solved,0.049
589,solved,0.013
590,solved,0
591,unsolvable,3.191
592,solved,0.034
593,solved,45.705
594,solved,0
595,solved,0
596,solved,0
597,solved,0.001
598,unsolvable,828.249
599,solved,0
600,solved,0
601,solved,1.148
602,unsolvable,4.717
603,solved,0.247
604,solved,0
605,solved,0.012
606,solved,0.026
607,solved,0
608,solved,0
609,unsolvable,0.763
610,unknown,3941.587
611,unsolvable,0
612,unsolvable,1.242
613,solved,0.01
614,solved,0.168
615,unsolvable,0
616,solved,0
617,solved,0.004
618,solved,0
619,unsolvable,238.006
620,solved,0
621,solved,0.006
622,solved,0.17
623,solved,0.02
624,solved,0
625,unsolvable,0
626,unsolvable,0
627,unknown,3616.684
628,solved,0
629,solved,0
630,solved,0
631,solved,0.065
632,unsolvable,1.127
633,unsolvable,0.169
634,solved,0.004
635,solved,0
636,solved,0.228
637,solved,0.005
638,solved,1.264
639,solved,0.036
640,solved,0
641,solved,0.001
642,solved,0.123
643,solved,0.14
644,solved,0.001
645,solved,0.004
646,solved,0.001
647,solved,0.181
648,solved,0
649,solved,0.916
650,solved,0.136
651,solved,0.001
652,solved,0
653,solved,0.001
654,solved,0
655,solved,0.065
656,solved,0.272
657,solved,0.003
658,solved,0
659,solved,0
660,solved,0.048
661,solved,0
662,solved,0.058
663,solved,0.001
664,solved,0
665,solved,0.002
666,solved,0.14
667,solved,0
668,unsolvable,1.874
669,solved,13.408
670,solved,0.003
671,solved,0
672,solved,0.001
673,solved,0.011
674,solved,0
675,solved,0.007
676,solved,6.963
677,unsolvable,0.276
678,solved,0.002
679,unsolvable,252.536
680,solved,0
681,solved,0.012
682,unsolvable,0.17
683,unsolvable,0.037
684,solved,0.002
685,solved,0.009
686,solved,0
687,solved,0.01
688,solved,0
689,solved,0.011
690,solved,0.265
691,unsolvable,1.303
692,solved,0
693,unsolvable,190.705
694,unsolvable,4.235
695,solved,0.853
696,solved,0.01
697,solved,0.002
698,unsolvable,1.265
699,solved,0.011
700,solved,0.019
701,unsolvable,273.649
702,solved,0.402
703,solved,0.057
704,solved,0.002
705,solved,0.373
706,solved,0.581
707,solved,0
708,solved,0
709,solved,0.578
710,solved,0.009
711,solved,0
712,solved,0
713,solved,0.002
714,unsolvable,873.62
715,solved,26.393
716,solved,0.007
717,unsolvable,0.303
718,solved,0.119
719,unknown,3824.513
720,solved,0.006
721,solved,0
722,unknown,3662.825
723,unsolvable,0
724,solved,0.028
725,solved,0.011
726,solved,0
727,solved,0.033
728,solved,0.035
729,unsolvable,0.063
730,solved,0.497
731,solved,0.004
732,solved,0
733,solved,0.002
734,solved,0.003
735,solved,0
736,unsolvable,0
737,solved,0
738,solved,0.026
739,solved,0.005
740,solved,0
741,solved,0.001
742,solved,0.012
743,solved,0
744,solved,0
745,solved,11.307
746,solved,0.442
747,solved,0
748,solved,0.001
749,solved,0
750,unsolvable,1.068
751,solved,5.556
752,solved,1.097
753,solved,0.204
754,solved,0.056
755,solved,0.002
756,solved,0.003
757,solved,0.001
758,solved,0.625
759,solved,0.001
760,solved,0.002
761,solved,0
762,solved,1.372
763,solved,0.004
764,solved,0.001
765,unsolvable,172.741
766,solved,0.001
767,solved,0.989
768,solved,0.001
769,solved,0.021
770,unsolvable,16.61
771,unsolvable,336.958
772,solved,9.758
773,solved,0
774,solved,0
775,solved,0
776,solved,0
777,solved,0
778,unsolvable,0.008
779,solved,0.006
780,solved,0.003
781,solved,0.013
782,solved,0.017
783,solved,0
784,solved,63.392
785,solved,0
786,solved,0
787,solved,0.011
788,solved,0.004
789,solved,0
790,solved,0
791,solved,0.006
792,solved,0.05
793,solved,0
794,solved,0
795,solved,0
796,solved,0.007
797,solved,0.073
798,solved,0.004
799,solved,0.02
800,solved,0.002
801,unsolvable,0
802,solved,0
803,solved,0.064
804,solved,0
805,solved,0.001
806,solved,0
807,solved,0.516
808,solved,0.001
809,unsolvable,0.041
810,solved,1.224
811,solved,0.052
812,solved,0
813,solved,0.236
814,solved,0
815,solved,0.001
816,solved,0.02
817,solved,0.001
818,unsolvable,150.072
819,solved,0
820,solved,0
821,solved,0.017
822,unsolvable,0.278
823,solved,0
824,solved,0.015
825,solved,0
826,solved,0.002
827,solved,0.093
828,solved,0.005
829,solved,9.468
830,solved,0.001
831,solved,0.008
832,solved,1.55
