seed,result,time (seconds)
312,unsolvable,0.521
313,unknown,1.399
314,unknown,1.482
315,unknown,1.617
316,unknown,1.571
317,unknown,1.206
318,unknown,1.502
319,unknown,1.377
320,unknown,1.268
321,unknown,1.49
322,unknown,1.388
323,unsolvable,10.756
324,unknown,1.41
325,unknown,1.431
326,unknown,1.614
327,unknown,1.236
328,unknown,1.398
329,unsolvable,0.575
330,unknown,1.227
331,unknown,1.163
332,unknown,1.409
333,unknown,1.532
334,unknown,1.227
335,unknown,1.479
336,unsolvable,0.615
337,unknown,1.285
338,unknown,1.573
339,unknown,1.901
340,unknown,1.487
341,unknown,1.344
342,unknown,1.308
343,unknown,1.254
344,unknown,1.162
345,unknown,1.225
346,unknown,1.306
347,unknown,1.421
348,unknown,1.324
349,unknown,1.307
350,unknown,1.47
351,unknown,1.582
352,unknown,1.493
353,unknown,1.212
354,unknown,1.254
355,unknown,1.244
356,unknown,1.32
357,unknown,1.19
358,unknown,1.234
359,unknown,1.183
360,unknown,1.487
361,unsolvable,0.788
362,unknown,1.334
363,unknown,1.3
364,unknown,1.689
365,unknown,1.331
366,unknown,1.357
367,unknown,1.521
368,unknown,1.313
369,unknown,1.789
370,unknown,1.807
371,unknown,1.073
372,unknown,1.243
373,unknown,1.231
374,unknown,1.592
375,unknown,1.153
376,unknown,1.609
377,unknown,1.681
378,unknown,1.208
379,unknown,1.474
380,unsolvable,0.945
381,unknown,1.572
382,unknown,1.099
383,unknown,1.68
384,unknown,1.725
385,unknown,1.225
386,unknown,1.265
387,unknown,1.409
388,unknown,1.199
389,unknown,1.233
390,unknown,1.508
391,unknown,1.471
392,unknown,1.677
393,unknown,1.599
394,unknown,1.588
395,unknown,1.106
396,unknown,1.768
397,unknown,1.57
398,unknown,1.476
399,unknown,1.306
400,unknown,1.216
401,unknown,1.278
402,unknown,1.17
403,unsolvable,9.169
404,unknown,1.725
405,unknown,1.445
406,unknown,1.56
407,unknown,1.486
408,unknown,1.437
409,unknown,1.473
410,unknown,1.371
411,unknown,1.566
412,unknown,1.381
413,unknown,1.482
414,unknown,1.214
415,unsolvable,0.519
416,unknown,1.228
417,unknown,1.265
418,unknown,1.409
419,unknown,1.385
420,unknown,1.242
421,unknown,1.484
422,unsolvable,5.948
423,unknown,1.438
424,unknown,1.367
425,unknown,1.214
426,unknown,1.328
427,unknown,1.853
428,unknown,1.33
429,unknown,1.057
430,unknown,1.404
431,unknown,1.509
432,unknown,1.307
433,unknown,1.121
434,unknown,1.202
435,unknown,1.222
436,unknown,1.16
437,unsolvable,5.36
438,unknown,1.334
439,unknown,1.398
440,unknown,1.2
441,unknown,1.382
442,unknown,1.326
443,unknown,1.172
444,unknown,1.632
445,unknown,1.125
446,unknown,1.14
447,unknown,1.36
448,unknown,1.108
449,unknown,1.264
450,unknown,1.368
451,unknown,1.404
452,unsolvable,2.193
453,unknown,1.254
454,unknown,1.521
455,unknown,1.475
456,unknown,1.145
457,unknown,1.632
458,unknown,1.212
459,unknown,1.494
460,unknown,1.508
461,unknown,1.196
462,unsolvable,1.012
463,unknown,1.397
464,unknown,1.485
465,unknown,1.257
466,unknown,1.264
467,unknown,1.807
468,unknown,1.154
469,unknown,1.263
470,unknown,1.407
471,unknown,1.15
472,unknown,1.471
473,unknown,1.657
474,unknown,1.257
475,unknown,1.71
476,unknown,1.203
477,unknown,1.101
478,unknown,1.137
479,unsolvable,1.17
480,unknown,1.244
481,unknown,1.214
482,unknown,1.367
483,unknown,1.28
484,unknown,1.63
485,unknown,1.167
486,unknown,1.588
487,unknown,1.208
488,unknown,1.221
489,unknown,1.285
