seed,result,time (seconds)
371,solved,0.001
372,solved,0
373,unknown,0.156
374,solved,0
375,solved,0
376,solved,0
377,solved,0.003
378,solved,0
379,solved,0
380,unknown,6.057
381,solved,0.001
382,solved,0
383,solved,0
384,solved,0.003
385,solved,0.002
386,solved,0
387,solved,1.02
388,solved,0
389,solved,1.034
390,solved,14.096
391,solved,0.007
392,solved,0.003
393,solved,0.785
394,unknown,0.051
395,solved,0.797
396,solved,0
397,solved,0.012
398,unknown,4.7
399,solved,0.022
400,solved,0.195
401,solved,0.223
402,solved,0
403,unknown,0
404,solved,0.153
405,solved,0.226
406,solved,1.524
407,solved,0.002
408,solved,0
409,unknown,7.133
410,solved,0
411,solved,0.602
412,solved,0
413,solved,0
414,solved,0.027
415,unknown,0.001
416,solved,0.092
417,solved,6.31
418,solved,0.006
419,solved,0.036
420,solved,0
421,solved,0.107
422,unknown,0
423,solved,0.002
424,solved,0
425,solved,0.385
426,solved,0.012
427,solved,0.003
428,solved,0.144
429,solved,0
430,solved,0.001
431,unknown,4.968
432,solved,0.012
433,solved,79.684
434,solved,0.043
435,solved,0.003
436,solved,0
437,unknown,0
438,solved,0
439,solved,1.602
440,solved,0.01
441,solved,0
442,solved,0.017
443,solved,0
444,solved,0
445,solved,20.546
446,solved,0
447,solved,0.083
448,solved,0.318
449,solved,0.075
450,solved,0.001
451,solved,0
452,unknown,0
453,solved,0.001
454,solved,0
455,solved,0.012
456,solved,51.655
457,solved,0.103
458,solved,0
459,solved,0
460,solved,0.226
461,solved,0.044
462,unknown,0.002
463,solved,0.003
464,unknown,0.784
465,solved,0
466,solved,0.001
467,solved,0
468,solved,0
469,solved,104.288
470,solved,0.05
471,solved,0.002
472,solved,0.001
473,solved,0
474,solved,0
475,solved,0.01
476,unknown,0
477,unknown,0.099
478,solved,0.275
479,unknown,7.252
480,solved,0
481,solved,0.005
482,solved,0.5
483,solved,0
484,solved,0.263
485,solved,0
486,solved,0.037
487,solved,0.002
488,solved,0
489,solved,3.359
490,solved,0.824
491,solved,0.004
492,solved,0.02
493,solved,0.003
494,solved,0.035
495,solved,0.03
496,solved,0
497,solved,0
498,solved,0.872
499,solved,0.002
500,solved,0
501,solved,0
502,solved,0
503,solved,0.408
504,unknown,0
505,solved,0.125
506,solved,0.022
507,solved,0.015
508,unknown,0.032
509,solved,0.104
510,solved,0
511,solved,0
512,solved,7.369
513,solved,0
514,solved,0
515,solved,0.014
516,solved,0.02
517,solved,0
518,solved,0.022
519,solved,0.015
520,unknown,0.004
521,solved,2.425
522,solved,0.006
523,unknown,84.531
524,solved,0.161
525,solved,0.955
526,solved,0.001
527,unknown,0.099
528,unknown,1.264
529,solved,0.037
530,solved,0
531,solved,0.017
532,solved,0.004
533,unknown,1.298
534,solved,0
535,solved,0.153
536,unknown,6.422
537,solved,0
538,solved,0.184
539,solved,0.006
540,unknown,0.09
541,solved,0.003
542,solved,0.012
543,solved,0.006
544,solved,0
545,solved,34.82
546,solved,0.001
547,solved,0.006
548,solved,0.005
549,solved,0
550,solved,1.189
551,unknown,0
552,solved,0
553,unknown,0.263
554,solved,3.102
555,solved,0
556,solved,0
557,solved,0.028
558,unknown,91.43
559,solved,17.814
560,solved,0
561,solved,0.012
562,solved,0.001
563,solved,0.004
564,solved,0
565,solved,0
566,solved,0
567,solved,0.002
568,solved,0.001
569,unknown,0.001
570,solved,0.216
571,solved,0
572,unknown,3.312
573,solved,0
574,solved,0.003
575,solved,0
576,solved,0.142
577,solved,0
578,solved,0.008
579,solved,0
580,solved,0
581,solved,0.017
582,solved,0
583,unknown,4.371
584,solved,0.001
585,solved,1.462
586,unknown,0
587,unknown,0.017
588,solved,0.049
589,solved,0.013
590,solved,0
591,unknown,1.471
592,solved,0.06
593,unknown,44.621
594,solved,0
595,solved,0
596,solved,0
597,solved,0.001
598,unknown,93.018
599,solved,0
600,solved,0
601,solved,1.448
602,unknown,1.094
603,solved,0.422
604,solved,0
605,solved,0.021
606,solved,0.041
607,solved,0
608,solved,0.001
609,unknown,0.283
610,unknown,353.562
611,unknown,0
612,unknown,0.241
