seed,result,time (seconds)
311,unknown,53.272
312,unsolvable,1.304
313,unknown,70.84
314,unknown,22.948
315,unknown,23.006
316,unknown,11.914
317,unknown,43.564
318,unknown,40.236
319,unsolvable,89.352
320,unknown,24.572
321,unknown,67.225
322,unsolvable,116.798
323,unsolvable,31.301
324,unknown,16.803
325,unknown,24.935
326,unknown,23.582
327,unknown,37.157
328,unknown,35.25
329,unsolvable,1.802
330,unknown,26.086
331,unknown,94.151
332,unknown,80.086
333,unknown,24.611
334,unknown,7.546
335,unknown,63.433
336,unsolvable,1.998
337,unknown,41.874
338,unknown,17.311
339,unknown,57.011
340,unknown,25.637
341,unknown,36.572
342,unknown,31.456
343,unknown,8.867
344,unknown,21.214
345,unknown,56.307
346,unknown,29.427
347,unknown,22.967
348,unknown,10.6
349,unknown,7.347
350,unknown,36.4
351,unknown,47.629
352,unknown,51.325
353,unknown,6.161
354,unknown,48.752
355,unknown,7.512
356,unknown,21.631
357,unknown,23.927
358,unknown,32.124
359,unknown,37.499
360,unknown,17.045
361,unsolvable,3.008
362,unknown,22.152
363,unknown,23.496
364,unsolvable,34.727
365,unknown,9.816
366,unknown,33.345
367,unknown,15.237
368,unknown,17.864
369,unknown,15.493
370,unknown,27.641
371,unknown,10.65
372,unknown,47.76
373,unknown,60.781
374,unknown,18.406
375,unknown,16.413
376,unknown,46.47
377,unknown,19.373
378,unknown,43.499
379,unknown,26.096
380,unsolvable,2.8
381,unknown,25.326
382,unknown,18.005
383,unknown,33.043
384,unknown,53.94
385,unknown,26.945
386,unknown,11.029
387,unknown,32.262
388,unknown,23.65
389,unknown,71.394
390,unknown,27.167
391,unknown,15.493
392,unknown,21.298
393,unknown,37.387
394,unsolvable,68.249
395,unknown,10.854
396,unknown,26.013
397,unknown,46.028
398,unknown,123.217
399,unknown,41.909
400,unknown,121.874
401,unknown,23.128
402,unknown,24.246
403,unsolvable,27.299
404,unknown,69.716
405,unknown,24.112
406,unknown,79.039
407,unknown,26.176
408,unknown,29.723
409,unknown,44.713
410,unknown,45.871
411,unknown,23.902
412,unknown,48.073
413,unknown,26.039
414,unknown,102.121
415,unsolvable,2.181
416,unknown,25.867
417,unknown,19.646
418,unknown,36.358
419,unknown,53.256
420,unknown,36.029
421,unknown,25.581
422,unsolvable,33.994
423,unknown,71.497
424,unknown,33.843
425,unknown,14.931
426,unknown,30.886
427,unknown,29.828
428,unknown,31.093
429,unknown,42.498
430,unknown,40.384
431,unknown,24.947
432,unknown,40.853
433,unknown,25.159
434,unknown,8.821
435,unknown,35.052
436,unknown,61.323
437,unsolvable,23.645
438,unknown,7.654
439,unknown,30.605
440,unknown,24.371
441,unknown,24.646
442,unknown,7.546
443,unknown,49.331
444,unknown,8.55
445,unknown,21.999
446,unknown,30.965
447,unknown,61.913
448,unknown,43.879
449,unknown,34.531
450,unknown,70.302
451,unknown,17.183
452,unsolvable,14.69
453,unknown,43.406
454,unknown,25.209
455,unknown,17.412
456,unknown,29.262
457,unknown,28.741
458,unknown,18.423
459,unknown,18.508
460,unknown,25.069
461,unknown,56.852
462,unsolvable,2.533
463,unknown,67.983
464,unknown,58.219
465,unknown,26.78
466,unknown,131.15
467,unknown,44.498
468,unknown,17.951
469,unknown,14.612
470,unknown,25.209
471,unknown,39.127
472,unknown,10.511
473,unknown,40.593
474,unknown,15.708
475,unknown,22.988
476,unsolvable,405.379
477,unsolvable,94.14
478,unknown,5.146
479,unsolvable,5.429
480,unknown,21.101
481,unknown,19.101
482,unknown,23.001
