59, unsolvable, 0, 48, 39, 47, 1, 0, 38, 53, 5, 0, unsolvable, 0.00, 0.00, 0.00, 1172
61, solved, 0, 127, 98, 36, 42, 0, 56, 97, 91, 91, solved, 0.00, 0.00, 0.00, 1184
63, solved, 0, 158, 101, 74, 48, 0, 53, 53, 84, 84, solved, 0.00, 0.00, 0.00, 1180
58, solved, 156, 90062, 30980, 89982, 16446, 0, 14534, 24593, 80, 80, solved, 0.16, 0.16, 0.00, 5780
64, solved, 4, 1616, 609, 1527, 151, 0, 458, 769, 89, 89, solved, 0.00, 0.00, 0.00, 1292
65, solved, 0, 274, 128, 198, 74, 0, 54, 97, 76, 76, solved, 0.00, 0.00, 0.00, 1180
67, solved, 0, 208, 119, 120, 51, 0, 68, 97, 88, 88, solved, 0.00, 0.00, 0.00, 1188
68, solved, 0, 159, 107, 82, 36, 0, 71, 97, 77, 77, solved, 0.00, 0.00, 0.00, 1184
69, solved, 0, 112, 86, 27, 40, 0, 46, 53, 85, 85, solved, 0.00, 0.00, 0.00, 1180
70, unsolvable, 0, 52, 32, 51, 2, 0, 30, 53, 8, 0, unsolvable, 0.00, 0.00, 0.00, 1172
71, solved, 5, 2473, 1188, 2382, 486, 0, 702, 769, 91, 91, solved, 0.00, 0.00, 0.00, 1368
62, solved, 281, 186505, 42368, 186423, 23241, 0, 19127, 24593, 82, 82, solved, 0.29, 0.28, 0.00, 7368
73, unsolvable, 0, 135, 56, 134, 0, 0, 56, 97, 6, 0, unsolvable, 0.00, 0.00, 0.00, 1176
75, solved, 28, 14392, 5894, 14309, 2657, 0, 3237, 6151, 83, 83, solved, 0.03, 0.02, 0.00, 2248
77, solved, 0, 139, 97, 52, 51, 0, 46, 53, 87, 87, solved, 0.00, 0.00, 0.00, 1176
80, solved, 0, 440, 161, 344, 96, 0, 65, 97, 96, 96, solved, 0.00, 0.00, 0.00, 1188
79, unsolvable, 34, 15206, 6385, 15205, 2453, 0, 3932, 6151, 29, 0, unsolvable, 0.03, 0.03, 0.00, 2464
76, solved, 173, 76248, 35193, 76151, 13453, 0, 21740, 24593, 97, 97, solved, 0.18, 0.18, 0.00, 8152
83, solved, 12, 7265, 3992, 7180, 2517, 0, 1475, 1543, 85, 85, solved, 0.01, 0.01, 0.00, 1616
84, solved, 0, 116, 99, 28, 45, 0, 54, 97, 88, 88, solved, 0.00, 0.00, 0.00, 1184
81, unsolvable, 93, 38046, 17889, 38045, 5313, 0, 12576, 24593, 26, 0, unsolvable, 0.10, 0.09, 0.00, 5252
85, solved, 0, 263, 177, 186, 52, 0, 125, 193, 77, 77, solved, 0.00, 0.00, 0.00, 1200
86, solved, 0, 115, 92, 28, 47, 0, 45, 53, 87, 87, solved, 0.00, 0.00, 0.00, 1180
89, solved, 17, 11896, 4673, 11824, 3041, 0, 1632, 3079, 72, 72, solved, 0.01, 0.01, 0.00, 1696
87, solved, 81, 33570, 11984, 33478, 3540, 0, 8444, 12289, 92, 92, solved, 0.08, 0.08, 0.00, 3856
88, unsolvable, 58, 17490, 7457, 17489, 0, 0, 7457, 12289, 21, 0, unsolvable, 0.06, 0.06, 0.00, 3688
91, solved, 45, 20500, 7772, 20399, 3438, 0, 4334, 6151, 101, 101, solved, 0.04, 0.04, 0.00, 2608
93, unsolvable, 3, 1247, 568, 1246, 84, 0, 484, 769, 11, 0, unsolvable, 0.00, 0.00, 0.00, 1300
94, solved, 0, 115, 77, 42, 35, 0, 42, 53, 73, 73, solved, 0.00, 0.00, 0.00, 1180
95, solved, 0, 330, 224, 251, 80, 0, 144, 193, 79, 79, solved, 0.00, 0.00, 0.00, 1208
96, solved, 0, 155, 107, 67, 55, 0, 52, 53, 88, 88, solved, 0.00, 0.00, 0.00, 1180
97, solved, 20, 8439, 3310, 8355, 902, 0, 2408, 3079, 84, 84, solved, 0.02, 0.02, 0.00, 1844
99, solved, 0, 372, 203, 286, 91, 0, 112, 193, 86, 86, solved, 0.00, 0.00, 0.00, 1200
100, solved, 7, 3259, 1629, 3180, 496, 0, 1133, 1543, 79, 79, solved, 0.01, 0.00, 0.00, 1468
102, unsolvable, 14, 5586, 2212, 5585, 355, 0, 1857, 3079, 23, 0, unsolvable, 0.01, 0.01, 0.00, 1764
101, unsolvable, 71, 34540, 18235, 34539, 9627, 0, 8608, 12289, 27, 0, unsolvable, 0.07, 0.07, 0.00, 3956
74, unsolvable, 727, 279667, 110860, 279666, 29045, 0, 81815, 98317, 42, 0, unsolvable, 0.78, 0.76, 0.01, 29056
103, solved, 51, 21754, 8225, 21679, 2159, 0, 6066, 6151, 75, 75, solved, 0.05, 0.05, 0.00, 3128
105, unsolvable, 0, 118, 72, 117, 21, 0, 51, 53, 11, 0, unsolvable, 0.00, 0.00, 0.00, 1172
104, solved, 46, 25992, 6963, 25913, 2069, 0, 4894, 6151, 79, 79, solved, 0.05, 0.05, 0.00, 2636
106, unsolvable, 1, 386, 191, 385, 26, 0, 165, 193, 10, 0, unsolvable, 0.00, 0.00, 0.00, 1208
107, unsolvable, 0, 3, 3, 2, 1, 0, 2, 53, 2, 0, unsolvable, 0.00, 0.00, 0.00, 1176
109, solved, 0, 268, 167, 182, 71, 0, 96, 97, 86, 86, solved, 0.00, 0.00, 0.00, 1192
98, solved, 320, 154870, 59952, 154788, 25652, 0, 34300, 49157, 82, 82, solved, 0.34, 0.33, 0.00, 12424
111, solved, 31, 13451, 4742, 13364, 981, 0, 3761, 6151, 87, 87, solved, 0.03, 0.03, 0.00, 2368
113, solved, 5, 2248, 785, 2162, 361, 0, 424, 769, 86, 86, solved, 0.00, 0.00, 0.00, 1288
114, solved, 16, 11843, 4655, 11765, 2904, 0, 1751, 3079, 78, 78, solved, 0.01, 0.01, 0.00, 1596
56, solved, 1501, 802140, 319594, 802055, 172751, 0, 146843, 196613, 85, 85, solved, 1.61, 1.57, 0.03, 49916
118, solved, 0, 273, 189, 184, 122, 0, 67, 97, 89, 89, solved, 0.00, 0.00, 0.00, 1180
112, solved, 153, 106513, 30353, 106438, 16405, 0, 13948, 24593, 75, 75, solved, 0.16, 0.15, 0.00, 5516
116, unsolvable, 78, 42344, 21466, 42343, 13202, 0, 8264, 12289, 21, 0, unsolvable, 0.08, 0.08, 0.00, 3884
119, solved, 4, 2302, 917, 2222, 389, 0, 528, 769, 80, 80, solved, 0.00, 0.00, 0.00, 1316
120, solved, 0, 104, 85, 19, 42, 0, 43, 53, 85, 85, solved, 0.00, 0.00, 0.00, 1176
121, unsolvable, 16, 5669, 2591, 5668, 436, 0, 2155, 3079, 23, 0, unsolvable, 0.01, 0.01, 0.00, 1892
92, solved, 762, 462682, 162656, 462594, 86445, 0, 76211, 98317, 88, 88, solved, 0.82, 0.80, 0.01, 26152
122, solved, 1, 430, 298, 341, 121, 0, 177, 193, 89, 89, solved, 0.00, 0.00, 0.00, 1216
124, unsolvable, 0, 139, 67, 138, 1, 0, 66, 97, 6, 0, unsolvable, 0.00, 0.00, 0.00, 1176
123, solved, 46, 26176, 9938, 26077, 5876, 0, 4062, 6151, 99, 99, solved, 0.05, 0.04, 0.00, 2372
128, solved, 4, 3050, 852, 2971, 448, 0, 404, 769, 79, 79, solved, 0.00, 0.00, 0.00, 1288
127, solved, 36, 16069, 6603, 15967, 2996, 0, 3607, 6151, 102, 102, solved, 0.04, 0.03, 0.00, 2360
130, solved, 1, 815, 166, 732, 60, 0, 106, 193, 83, 83, solved, 0.00, 0.00, 0.00, 1200
129, solved, 94, 42988, 14805, 42897, 5441, 0, 9364, 12289, 91, 91, solved, 0.10, 0.09, 0.00, 4120
133, solved, 0, 263, 137, 185, 36, 0, 101, 193, 78, 78, solved, 0.00, 0.00, 0.00, 1200
134, solved, 6, 2486, 1075, 2395, 487, 0, 588, 769, 91, 91, solved, 0.00, 0.00, 0.00, 1340
132, solved, 71, 26471, 13189, 26390, 4012, 0, 9177, 12289, 81, 81, solved, 0.07, 0.07, 0.00, 4220
26, solved, 2878, 1661004, 762580, 1660915, 502388, 0, 260192, 393241, 89, 89, solved, 3.10, 3.04, 0.04, 88128
131, unsolvable, 148, 61348, 24699, 61347, 7941, 0, 16758, 24593, 40, 0, unsolvable, 0.16, 0.15, 0.00, 6832
138, solved, 0, 170, 112, 88, 47, 0, 65, 97, 82, 82, solved, 0.00, 0.00, 0.00, 1180
72, solved, 1664, 836276, 343130, 836180, 194201, 0, 148929, 196613, 96, 96, solved, 1.80, 1.76, 0.03, 51500
139, unsolvable, 11, 5065, 2795, 5064, 1215, 0, 1580, 3079, 18, 0, unsolvable, 0.01, 0.01, 0.00, 1580
140, solved, 2, 1302, 531, 1216, 174, 0, 357, 389, 86, 86, solved, 0.00, 0.00, 0.00, 1272
54, solved, 2170, 1044867, 434482, 1044766, 219660, 0, 214822, 393241, 101, 101, solved, 2.36, 2.32, 0.03, 74924
141, solved, 1, 392, 276, 303, 105, 0, 171, 193, 89, 89, solved, 0.00, 0.00, 0.00, 1216
142, unsolvable, 0, 22, 16, 21, 2, 0, 14, 53, 8, 0, unsolvable, 0.00, 0.00, 0.00, 1172
144, solved, 1, 509, 290, 429, 46, 0, 244, 389, 80, 80, solved, 0.00, 0.00, 0.00, 1232
145, unsolvable, 0, 21, 14, 20, 2, 0, 12, 53, 5, 0, unsolvable, 0.00, 0.00, 0.00, 1172
146, solved, 2, 767, 371, 680, 45, 0, 326, 389, 87, 87, solved, 0.00, 0.00, 0.00, 1260
143, unsolvable, 81, 35237, 14176, 35236, 5796, 0, 8380, 12289, 15, 0, unsolvable, 0.08, 0.08, 0.00, 3956
147, solved, 0, 379, 133, 299, 77, 0, 56, 97, 80, 80, solved, 0.00, 0.00, 0.00, 1180
149, solved, 5, 2892, 1390, 2811, 811, 0, 579, 769, 81, 81, solved, 0.00, 0.00, 0.00, 1332
150, solved, 10, 5065, 2209, 4996, 913, 0, 1296, 1543, 69, 69, solved, 0.01, 0.01, 0.00, 1564
60, solved, 2257, 1478385, 792541, 1478285, 566356, 0, 226185, 393241, 100, 100, solved, 2.46, 2.40, 0.04, 78096
151, solved, 0, 348, 143, 271, 79, 0, 64, 97, 77, 77, solved, 0.00, 0.00, 0.00, 1184
153, unsolvable, 5, 1816, 1043, 1815, 411, 0, 632, 769, 10, 0, unsolvable, 0.00, 0.00, 0.00, 1356
154, solved, 0, 221, 88, 147, 43, 0, 45, 53, 74, 74, solved, 0.00, 0.00, 0.00, 1180
157, solved, 0, 335, 119, 250, 46, 0, 73, 97, 85, 85, solved, 0.00, 0.00, 0.00, 1188
158, solved, 0, 211, 139, 123, 40, 0, 99, 193, 88, 88, solved, 0.00, 0.00, 0.00, 1196
159, solved, 0, 206, 96, 123, 47, 0, 49, 53, 83, 83, solved, 0.00, 0.00, 0.00, 1176
152, solved, 196, 89152, 37653, 89071, 14827, 0, 22826, 24593, 81, 81, solved, 0.21, 0.20, 0.00, 8420
117, solved, 1119, 552881, 228743, 552795, 111878, 0, 116865, 196613, 86, 86, solved, 1.21, 1.18, 0.02, 40940
161, solved, 0, 122, 97, 30, 49, 0, 48, 53, 92, 92, solved, 0.00, 0.00, 0.00, 1176
162, solved, 6, 2748, 864, 2659, 289, 0, 575, 769, 89, 89, solved, 0.00, 0.00, 0.00, 1332
156, unsolvable, 209, 69039, 30032, 69038, 4216, 0, 25816, 49157, 20, 0, unsolvable, 0.22, 0.21, 0.00, 10312
165, solved, 1, 586, 174, 507, 45, 0, 129, 193, 79, 79, solved, 0.00, 0.00, 0.00, 1200
166, solved, 0, 134, 81, 56, 36, 0, 45, 53, 78, 78, solved, 0.00, 0.00, 0.00, 1180
167, solved, 5, 1808, 813, 1713, 64, 0, 749, 769, 95, 95, solved, 0.00, 0.00, 0.00, 1392
168, solved, 5, 2549, 1008, 2466, 420, 0, 588, 769, 83, 83, solved, 0.00, 0.00, 0.00, 1332
126, solved, 1106, 547331, 178172, 547252, 71855, 0, 106317, 196613, 79, 79, solved, 1.19, 1.17, 0.02, 38292
169, solved, 9, 3328, 1467, 3237, 318, 0, 1149, 1543, 91, 91, solved, 0.01, 0.00, 0.00, 1540
171, solved, 0, 144, 90, 54, 45, 0, 45, 53, 90, 90, solved, 0.00, 0.00, 0.00, 1176
172, solved, 15, 4643, 1947, 4558, 75, 0, 1872, 3079, 85, 85, solved, 0.01, 0.01, 0.00, 1608
173, solved, 0, 156, 112, 76, 50, 0, 62, 97, 80, 80, solved, 0.00, 0.00, 0.00, 1180
174, solved, 5, 2964, 961, 2895, 310, 0, 651, 769, 69, 69, solved, 0.00, 0.00, 0.00, 1352
175, solved, 1, 790, 325, 710, 159, 0, 166, 193, 80, 80, solved, 0.00, 0.00, 0.00, 1216
176, solved, 2, 1527, 340, 1448, 72, 0, 268, 389, 79, 79, solved, 0.00, 0.00, 0.00, 1244
177, solved, 2, 1822, 433, 1740, 227, 0, 206, 389, 82, 82, solved, 0.00, 0.00, 0.00, 1236
178, solved, 22, 10443, 3864, 10362, 1273, 0, 2591, 3079, 81, 81, solved, 0.02, 0.02, 0.00, 2028
179, solved, 9, 5070, 1646, 4974, 830, 0, 816, 1543, 96, 96, solved, 0.01, 0.00, 0.00, 1420
180, solved, 38, 17394, 4937, 17304, 1809, 0, 3128, 6151, 90, 90, solved, 0.04, 0.04, 0.00, 2108
66, unsolvable, 2912, 1496800, 543044, 1496799, 251335, 0, 291709, 393241, 33, 0, unsolvable, 3.16, 3.10, 0.05, 98880
183, solved, 0, 174, 132, 89, 60, 0, 72, 97, 85, 85, solved, 0.00, 0.00, 0.00, 1184
184, solved, 0, 119, 87, 38, 39, 0, 48, 53, 81, 81, solved, 0.00, 0.00, 0.00, 1176
185, solved, 0, 118, 95, 27, 50, 0, 45, 53, 91, 91, solved, 0.00, 0.00, 0.00, 1180
186, solved, 9, 4238, 1826, 4146, 856, 0, 970, 1543, 92, 92, solved, 0.01, 0.00, 0.00, 1444
189, solved, 6, 3207, 1111, 3124, 350, 0, 761, 769, 83, 83, solved, 0.00, 0.00, 0.00, 1384
190, solved, 0, 197, 106, 115, 51, 0, 55, 97, 82, 82, solved, 0.00, 0.00, 0.00, 1184
191, solved, 0, 148, 116, 67, 45, 0, 71, 97, 81, 81, solved, 0.00, 0.00, 0.00, 1184
188, solved, 124, 48333, 20874, 48245, 7456, 0, 13418, 24593, 88, 88, solved, 0.13, 0.12, 0.00, 5776
193, solved, 7, 3703, 1269, 3613, 536, 0, 733, 769, 90, 90, solved, 0.00, 0.00, 0.00, 1380
36, solved, 4072, 2208300, 744728, 2208215, 409200, 0, 335528, 393241, 85, 85, solved, 4.39, 4.31, 0.06, 112084
192, solved, 87, 32471, 11795, 32374, 1816, 0, 9979, 12289, 97, 97, solved, 0.09, 0.09, 0.00, 4316
163, solved, 831, 602588, 313820, 602503, 238348, 0, 75472, 98317, 85, 85, solved, 0.89, 0.87, 0.01, 26152
196, solved, 0, 149, 81, 70, 37, 0, 44, 53, 79, 79, solved, 0.00, 0.00, 0.00, 1180
197, solved, 0, 178, 98, 85, 48, 0, 50, 53, 93, 93, solved, 0.00, 0.00, 0.00, 1180
195, unsolvable, 70, 29891, 14930, 29890, 6789, 0, 8141, 12289, 28, 0, unsolvable, 0.07, 0.07, 0.00, 3692
198, solved, 8, 3476, 1096, 3394, 283, 0, 813, 1543, 82, 82, solved, 0.01, 0.00, 0.00, 1420
202, solved, 12, 5376, 2999, 5285, 1527, 0, 1472, 1543, 91, 91, solved, 0.01, 0.01, 0.00, 1624
3, unsolvable, 5049, 2445272, 1059622, 2445271, 538357, 0, 521265, 786433, 51, 0, unsolvable, 5.57, 5.44, 0.10, 179464
164, solved, 1060, 590670, 204512, 590583, 112572, 0, 91940, 98317, 87, 87, solved, 1.12, 1.10, 0.01, 31172
204, solved, 0, 302, 170, 212, 50, 0, 120, 193, 90, 90, solved, 0.00, 0.00, 0.00, 1200
205, solved, 1, 341, 232, 252, 56, 0, 176, 193, 89, 89, solved, 0.00, 0.00, 0.00, 1220
207, solved, 0, 96, 84, 13, 43, 0, 41, 53, 83, 83, solved, 0.00, 0.00, 0.00, 1180
208, solved, 2, 1143, 285, 1059, 35, 0, 250, 389, 84, 84, solved, 0.00, 0.00, 0.00, 1236
194, solved, 408, 188099, 51660, 188003, 12843, 0, 38817, 49157, 96, 96, solved, 0.43, 0.42, 0.00, 14008
209, solved, 0, 234, 103, 142, 46, 0, 57, 97, 92, 92, solved, 0.00, 0.00, 0.00, 1180
203, solved, 194, 91191, 29138, 91095, 9300, 0, 19838, 24593, 96, 96, solved, 0.20, 0.20, 0.00, 7624
210, solved, 22, 12302, 3964, 12212, 1836, 0, 2128, 3079, 90, 90, solved, 0.02, 0.02, 0.00, 1652
212, solved, 8, 5181, 2350, 5101, 1321, 0, 1029, 1543, 80, 80, solved, 0.01, 0.00, 0.00, 1472
215, solved, 3, 1118, 531, 1028, 91, 0, 440, 769, 90, 90, solved, 0.00, 0.00, 0.00, 1288
201, unsolvable, 394, 198311, 85557, 198310, 46031, 0, 39526, 49157, 49, 0, unsolvable, 0.42, 0.40, 0.00, 14536
200, solved, 451, 253935, 105271, 253856, 60182, 0, 45089, 49157, 79, 79, solved, 0.48, 0.47, 0.00, 15860
217, solved, 1, 574, 262, 485, 79, 0, 183, 193, 89, 89, solved, 0.00, 0.00, 0.00, 1220
218, solved, 3, 1525, 848, 1444, 418, 0, 430, 769, 81, 81, solved, 0.00, 0.00, 0.00, 1292
211, solved, 237, 96125, 46472, 96037, 19369, 0, 27103, 49157, 88, 88, solved, 0.25, 0.24, 0.00, 10316
221, solved, 0, 216, 89, 135, 37, 0, 52, 53, 81, 81, solved, 0.00, 0.00, 0.00, 1180
214, solved, 198, 54004, 22140, 53918, 6669, 0, 15471, 24593, 86, 86, solved, 0.20, 0.20, 0.00, 6304
148, unsolvable, 1916, 698451, 259276, 698450, 45294, 0, 213982, 393241, 29, 0, unsolvable, 2.10, 2.04, 0.04, 77036
206, solved, 438, 182474, 61604, 182384, 13894, 0, 47710, 49157, 90, 90, solved, 0.47, 0.45, 0.01, 16648
223, unsolvable, 0, 2, 2, 1, 1, 0, 1, 53, 1, 0, unsolvable, 0.00, 0.00, 0.00, 1176
220, unsolvable, 83, 32542, 17560, 32541, 6538, 0, 11022, 12289, 32, 0, unsolvable, 0.09, 0.08, 0.00, 4744
224, solved, 0, 133, 84, 50, 37, 0, 47, 53, 83, 83, solved, 0.00, 0.00, 0.00, 1176
225, solved, 1, 792, 407, 716, 157, 0, 250, 389, 76, 76, solved, 0.00, 0.00, 0.00, 1232
222, solved, 95, 44747, 19855, 44662, 8629, 0, 11226, 12289, 85, 85, solved, 0.10, 0.10, 0.00, 4744
170, solved, 1486, 918875, 335817, 918802, 201325, 0, 134492, 196613, 73, 73, solved, 1.60, 1.56, 0.02, 45168
226, solved, 10, 3950, 1915, 3863, 596, 0, 1319, 1543, 87, 87, solved, 0.01, 0.01, 0.00, 1508
228, solved, 0, 108, 91, 19, 44, 0, 47, 53, 89, 89, solved, 0.00, 0.00, 0.00, 1176
227, solved, 41, 21502, 3925, 21413, 1317, 0, 2608, 3079, 89, 89, solved, 0.04, 0.04, 0.00, 2008
229, solved, 0, 125, 75, 50, 39, 0, 36, 53, 75, 75, solved, 0.00, 0.00, 0.00, 1176
230, solved, 0, 229, 134, 141, 64, 0, 70, 97, 88, 88, solved, 0.00, 0.00, 0.00, 1188
232, solved, 0, 150, 88, 66, 40, 0, 48, 53, 84, 84, solved, 0.00, 0.00, 0.00, 1176
231, solved, 43, 18826, 9069, 18744, 4076, 0, 4993, 6151, 82, 82, solved, 0.04, 0.04, 0.00, 2800
233, solved, 0, 143, 100, 57, 48, 0, 52, 53, 86, 86, solved, 0.00, 0.00, 0.00, 1180
48, solved, 4854, 2092604, 699375, 2092512, 277707, 0, 421668, 786433, 92, 92, solved, 5.25, 5.12, 0.09, 149172
236, solved, 0, 169, 100, 86, 40, 0, 60, 97, 83, 83, solved, 0.00, 0.00, 0.00, 1184
216, solved, 560, 278750, 85291, 278661, 32932, 0, 52359, 98317, 89, 89, solved, 0.59, 0.59, 0.00, 18764
238, solved, 1, 700, 346, 624, 193, 0, 153, 193, 76, 76, solved, 0.00, 0.00, 0.00, 1208
239, unsolvable, 45, 26353, 15129, 26352, 9687, 0, 5442, 6151, 20, 0, unsolvable, 0.05, 0.04, 0.00, 2900
241, solved, 0, 118, 81, 37, 41, 0, 40, 53, 81, 81, solved, 0.00, 0.00, 0.00, 1176
235, solved, 194, 115215, 45103, 115130, 27372, 0, 17731, 24593, 85, 85, solved, 0.20, 0.19, 0.00, 6840
78, unsolvable, 4258, 1672668, 545445, 1672667, 143037, 0, 402408, 786433, 42, 0, unsolvable, 4.58, 4.48, 0.08, 143888
242, solved, 26, 11553, 5302, 11464, 2327, 0, 2975, 3079, 89, 89, solved, 0.02, 0.02, 0.00, 2140
244, solved, 9, 3355, 1343, 3264, 213, 0, 1130, 1543, 91, 91, solved, 0.01, 0.00, 0.00, 1528
245, solved, 4, 1740, 717, 1654, 214, 0, 503, 769, 86, 86, solved, 0.00, 0.00, 0.00, 1308
246, solved, 0, 88, 81, 7, 38, 0, 43, 53, 81, 81, solved, 0.00, 0.00, 0.00, 1176
247, solved, 0, 119, 80, 42, 38, 0, 42, 53, 77, 77, solved, 0.00, 0.00, 0.00, 1180
250, solved, 0, 279, 134, 196, 68, 0, 66, 97, 83, 83, solved, 0.00, 0.00, 0.00, 1188
251, solved, 30, 18453, 5848, 18364, 3523, 0, 2325, 3079, 89, 89, solved, 0.03, 0.03, 0.00, 1844
252, solved, 1, 509, 230, 420, 95, 0, 135, 193, 89, 89, solved, 0.00, 0.00, 0.00, 1204
234, solved, 520, 213447, 78877, 213351, 25575, 0, 53302, 98317, 96, 96, solved, 0.56, 0.54, 0.01, 19288
248, unsolvable, 133, 60855, 26258, 60854, 11300, 0, 14958, 24593, 16, 0, unsolvable, 0.14, 0.13, 0.00, 6308
249, solved, 120, 64532, 24843, 64444, 13316, 0, 11527, 12289, 88, 88, solved, 0.12, 0.12, 0.00, 4764
254, solved, 10, 3441, 1894, 3343, 424, 0, 1470, 1543, 98, 98, solved, 0.01, 0.01, 0.00, 1580
253, solved, 75, 27412, 9275, 27324, 252, 0, 9023, 12289, 88, 88, solved, 0.08, 0.07, 0.00, 4072
