seed,result,time(seconds)
367,solved,1.54
368,solved,8.94
369,solved,0
370,solved,0
371,solved,0
372,solved,0
373,unsolvable,0.33
374,solved,0
375,solved,0
376,solved,0
377,solved,0
378,solved,0
379,solved,0
380,unsolvable,20.58
381,solved,0
382,solved,0
383,solved,0
384,solved,0
385,solved,0
386,solved,0
387,solved,0.9
388,solved,0
389,solved,0.78
390,solved,17.33
391,solved,0
392,solved,0
393,solved,1.01
394,unsolvable,0.11
395,solved,1.02
396,solved,0
397,solved,0.01
398,unsolvable,25.47
399,solved,0.03
400,solved,0.24
401,solved,0.28
402,solved,0
403,unsolvable,0
404,solved,0.18
405,solved,0.28
406,solved,1.89
407,solved,0
408,solved,0
409,unsolvable,54.72
410,solved,0
411,solved,0.75
412,solved,0
413,solved,0
414,solved,0.03
415,unsolvable,0
416,solved,0.12
417,solved,8.07
418,solved,0
419,solved,0.05
420,solved,0
421,solved,0.13
422,unsolvable,0
423,solved,0
424,solved,0
425,solved,0.47
426,solved,0.01
427,solved,0
428,solved,0.19
429,solved,0
430,solved,0
431,unsolvable,49.96
432,solved,0.01
433,solved,102.86
434,solved,0.05
435,solved,0
436,solved,0
437,unsolvable,0
438,solved,0
439,solved,2.07
440,solved,0.01
441,solved,0
442,solved,0.02
443,solved,0
444,solved,0
445,solved,26.14
446,solved,0
447,solved,0.1
448,solved,0.39
449,solved,0.09
450,solved,0
451,solved,0
452,unsolvable,0
453,solved,0
454,solved,0
455,solved,0.01
456,solved,65.85
457,solved,0.11
458,solved,0
459,solved,0
460,solved,0.29
461,solved,0.05
462,unsolvable,0
463,solved,0
464,unsolvable,3.61
465,solved,0
466,solved,0
467,solved,0
468,solved,0
469,solved,138.89
470,solved,0.04
471,solved,0
472,solved,0
473,solved,0
474,solved,0
475,solved,0.01
476,unsolvable,0
477,unsolvable,0.27
478,solved,0.34
479,unsolvable,35.26
480,solved,0
481,solved,0
482,solved,0.63
483,solved,0
484,solved,0.32
485,solved,0
486,solved,0.05
487,solved,0
488,solved,0
489,solved,4
490,solved,0.86
491,solved,0
492,solved,0.02
493,solved,0
494,solved,0.04
495,solved,0.03
496,solved,0
497,solved,0
498,solved,0.75
499,solved,0
500,solved,0
501,solved,0
502,solved,0
503,solved,0.51
504,unsolvable,0
505,solved,0.15
506,solved,0.03
507,solved,0.02
508,unsolvable,0.12
509,solved,0.13
510,solved,0
511,solved,0
512,solved,9.47
513,solved,0
514,solved,0
515,solved,0.02
516,solved,0.02
517,solved,0
518,solved,0.02
519,solved,0.02
520,unsolvable,0.01
521,solved,3.14
522,solved,0
523,unsolvable,303.5
524,solved,0.2
525,solved,1.2
526,solved,0
527,unsolvable,0.47
528,unsolvable,8.02
529,solved,0.04
530,solved,0
531,solved,0.02
532,solved,0
533,unsolvable,3.25
534,solved,0
535,solved,0.11
536,unsolvable,19.77
537,solved,0
538,solved,0.23
539,solved,0
540,unsolvable,0.27
541,solved,0
542,solved,0.01
543,solved,0.01
544,solved,0
545,solved,44.8
546,solved,0
547,solved,0.01
548,solved,0
549,solved,0
550,solved,1.53
551,unsolvable,0
552,solved,0
553,unsolvable,0.94
554,solved,3.96
555,solved,0
556,solved,0
557,solved,0.01
558,unsolvable,420.06
559,solved,22.55
560,solved,0
561,solved,0.01
562,solved,0
563,solved,0
564,solved,0
565,solved,0
566,solved,0
