49, solved, 8, 3902, 1483, 3831, 489, 0, 994, 1543, 71, 71, , , , , , , , , , , , solved, 0.01, 0.00, 0.00, 1472
50, solved, 0, 126, 91, 42, 42, 0, 49, 53, 84, 84, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1176
37, solved, 406, 215527, 69958, 215440, 37155, 0, 32803, 49157, 87, 87, , , , , , , , , , , , solved, 0.42, 0.42, 0.00, 11896
51, unsolvable, 0, 20, 15, 19, 1, 0, 14, 53, 8, 0, unsolvable, 0, 20, 15, 19, 1, 0, 14, 53, 8, 0, unsolvable, 0.00, 0.00, 0.00, 1176
52, solved, 0, 423, 301, 346, 162, 0, 139, 193, 77, 77, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1208
55, solved, 26, 9662, 4566, 9581, 1410, 0, 3156, 6151, 81, 81, , , , , , , , , , , , solved, 0.02, 0.02, 0.00, 2108
57, solved, 0, 153, 84, 69, 41, 0, 43, 53, 84, 84, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1180
16, solved, 1155, 766931, 289433, 766862, 180567, 0, 108866, 196613, 69, 69, , , , , , , , , , , , solved, 1.23, 1.21, 0.02, 37772
59, unsolvable, 0, 48, 39, 47, 1, 0, 38, 53, 5, 0, unsolvable, 0, 48, 39, 47, 1, 0, 38, 53, 5, 0, unsolvable, 0.00, 0.00, 0.00, 1172
61, solved, 0, 127, 98, 36, 42, 0, 56, 97, 91, 91, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1184
63, solved, 0, 158, 101, 74, 48, 0, 53, 53, 84, 84, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1176
64, solved, 4, 1616, 609, 1527, 151, 0, 458, 769, 89, 89, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1292
58, solved, 157, 90062, 30980, 89982, 16446, 0, 14534, 24593, 80, 80, , , , , , , , , , , , solved, 0.16, 0.16, 0.00, 5784
65, solved, 0, 274, 128, 198, 74, 0, 54, 97, 76, 76, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1180
67, solved, 0, 208, 119, 120, 51, 0, 68, 97, 88, 88, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1188
68, solved, 0, 159, 107, 82, 36, 0, 71, 97, 77, 77, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1184
69, solved, 0, 112, 86, 27, 40, 0, 46, 53, 85, 85, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1176
70, unsolvable, 0, 52, 32, 51, 2, 0, 30, 53, 8, 0, unsolvable, 0, 52, 32, 51, 2, 0, 30, 53, 8, 0, unsolvable, 0.00, 0.00, 0.00, 1176
71, solved, 5, 2473, 1188, 2382, 486, 0, 702, 769, 91, 91, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1368
73, unsolvable, 0, 135, 56, 134, 0, 0, 56, 97, 6, 0, unsolvable, 0, 135, 56, 134, 0, 0, 56, 97, 6, 0, unsolvable, 0.00, 0.00, 0.00, 1188
62, solved, 286, 186505, 42368, 186423, 23241, 0, 19127, 24593, 82, 82, , , , , , , , , , , , solved, 0.30, 0.29, 0.00, 7368
75, solved, 28, 14392, 5894, 14309, 2657, 0, 3237, 6151, 83, 83, , , , , , , , , , , , solved, 0.03, 0.03, 0.00, 2108
77, solved, 0, 139, 97, 52, 51, 0, 46, 53, 87, 87, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1180
43, unsolvable, 348, 148776, 53212, 148775, 16518, 0, 36694, 49157, 20, 0, unsolvable, 533, 223921, 80337, 223920, 21861, 0, 58476, 98317, 22, 0, unsolvable, 0.94, 0.92, 0.01, 27644
80, solved, 0, 440, 161, 344, 96, 0, 65, 97, 96, 96, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1184
76, solved, 174, 76248, 35193, 76151, 13453, 0, 21740, 24593, 97, 97, , , , , , , , , , , , solved, 0.18, 0.18, 0.00, 8152
83, solved, 12, 7265, 3992, 7180, 2517, 0, 1475, 1543, 85, 85, , , , , , , , , , , , solved, 0.01, 0.01, 0.00, 1580
84, solved, 0, 116, 99, 28, 45, 0, 54, 97, 88, 88, , , , , , , , , , , , solved, 0.00, 0.00, 0.00, 1180
