seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
103576,0,0.07,173967,0,1.36,1,0,0,20365,39989
103802,0,0.06,181679,0,1.362,1,0,0,11148,41006
104134,0,0.00,573,0,0.739,0,0,0,0,208
105926,0,0.09,177682,0,1.332,1,0,0,15114,40332
106826,0,0.00,472,0,0.772,0,0,0,0,104
108379,0,0.07,184121,0,1.286,1,0,0,17951,41035
109036,0,0.06,180389,0,1.33,1,0,0,7495,40830
109079,0,0.00,573,0,0.781,0,0,0,0,208
109388,0,0.00,472,0,0.758,0,0,0,0,104
111534,0,0.07,180707,0,1.34,1,0,0,14700,40381
111614,0,0.07,182621,0,1.348,1,0,0,11521,40941
111631,0,0.05,176562,0,1.319,1,0,0,7249,40589
111741,0,0.00,472,0,0.76,0,0,0,0,104
112229,0,0.06,176715,0,1.368,1,0,0,11314,40201
112629,0,0.07,180221,0,1.262,1,0,0,13338,40250
112864,0,1.25,182107,0,1.336,0,0,0,84083,40730
114705,0,0.06,177715,0,1.303,1,0,0,12750,39838
115890,0,0.06,181922,0,1.357,1,0,0,7305,40688
117249,0,0.00,472,0,0.758,0,0,0,0,104
118330,0,0.00,472,0,1.017,0,0,0,0,104
118370,0,0.00,573,0,0.904,0,0,0,0,208
118463,0,0.00,472,0,0.879,0,0,0,0,104
120731,0,0.00,573,0,0.831,0,0,0,0,208
121859,0,0.06,167280,0,1.404,1,0,0,10290,37996
122267,0,0.00,573,0,0.775,0,0,0,0,208
124912,0,0.00,573,0,0.742,0,0,0,0,208
124982,0,0.00,472,0,1.04,0,0,0,0,104
125115,0,0.00,472,0,0.861,0,0,0,0,104
126056,0,0.06,177929,0,1.374,1,0,0,5960,40261
129067,0,0.00,472,0,0.836,0,0,0,0,104
130035,0,0.00,573,0,0.974,0,0,0,0,208
130451,0,0.06,185102,0,1.324,1,0,0,6507,41119
131206,0,0.09,182598,0,1.299,1,0,0,35100,40645
132473,0,0.06,170082,0,1.3,1,0,0,8351,39255
132588,0,0.00,472,0,0.87,0,0,0,0,104
133352,0,0.00,674,0,0.936,0,0,0,0,312
133796,0,0.00,472,0,0.937,0,0,0,0,104
134652,0,0.00,472,0,0.941,0,0,0,0,104
135080,0,0.09,172652,0,1.365,1,0,0,16930,39356
135635,0,0.10,178968,0,1.23,1,0,0,19112,40059
136208,0,0.09,181735,0,1.215,1,0,0,6988,40998
13689,0,0.11,184305,0,1.348,1,0,0,7969,41085
137751,0,0.07,178740,0,1.35,1,0,0,13422,40531
139219,0,0.08,183505,0,1.226,1,0,0,19622,41051
144068,0,0.00,573,0,0.687,0,0,0,0,208
144684,0,0.06,165317,0,1.184,1,0,0,6784,38421
14491,0,0.07,184276,0,1.198,1,0,0,14949,41140
14541,0,0.05,183932,0,1.429,1,0,0,7429,41013
146086,0,0.06,177884,0,1.204,1,0,0,6170,40363
147161,0,0.06,172724,0,1.336,1,0,0,9167,39385
147164,0,0.00,573,0,0.745,0,0,0,0,208
148278,0,0.00,674,0,0.717,0,0,0,0,312
14951,0,0.06,186595,0,1.38,1,0,0,7450,41551
153548,0,0.06,184281,0,1.295,1,0,0,10709,41171
157426,0,0.10,180189,0,1.4,1,0,0,23349,40328
157587,0,0.07,183034,0,1.271,1,0,0,17097,40805
157633,0,0.06,179907,0,1.414,1,0,0,7547,40347
161258,0,0.00,472,0,0.727,0,0,0,0,104
163259,0,0.00,573,0,0.774,0,0,0,0,208
163862,0,0.05,180292,0,1.226,1,0,0,6420,40884
16493,0,0.08,184855,0,1.284,1,0,0,19548,41129
167122,0,0.08,186787,0,1.289,1,0,0,10330,41621
167458,0,0.00,573,0,0.642,0,0,0,0,208
1693,0,0.00,573,0,0.743,0,0,0,0,208
170615,0,0.00,472,0,0.793,0,0,0,0,104
172741,0,0.00,472,0,0.851,0,0,0,0,104
173692,0,0.07,179039,0,1.332,1,0,0,12772,40139
