seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
100768,0,0.00,2968,0,0.519,0,0,0,0,2576
101554,0,0.05,178682,0,1.133,1,0,0,7228,41282
102188,0,0.11,185253,0,1.299,1,0,0,28390,42145
102730,0,0.07,188172,0,1.286,1,0,0,12443,42808
103183,0,0.10,180428,0,1.345,1,0,0,18483,41601
105151,0,0.07,187600,0,1.211,1,0,0,10266,42468
105560,0,0.00,3069,0,0.531,0,0,0,0,2680
105868,0,0.07,189767,0,1.09,1,0,0,14617,43038
106288,0,0.06,182865,0,1.109,1,0,0,7000,42238
106381,0,0.08,188863,0,1.2,1,0,0,14383,42806
107556,0,0.00,3069,0,0.586,0,0,0,0,2680
108246,0,0.06,186293,0,1.177,1,0,0,6822,42808
108967,0,0.00,2968,0,0.63,0,0,0,0,2576
11040,0,0.09,183722,0,1.445,1,0,0,21243,42256
112420,0,0.00,2968,0,0.66,0,0,0,0,2576
113667,0,0.10,188577,0,1.197,1,0,0,8177,42797
113743,0,0.07,189789,0,1.076,1,0,0,14277,42987
114379,0,0.06,184280,0,1.152,1,0,0,9314,42074
115509,0,0.00,2968,0,0.8,0,0,0,0,2576
115981,0,0.00,2968,0,0.6,0,0,0,0,2576
116270,0,0.00,3069,0,0.572,0,0,0,0,2680
117866,0,0.09,184906,0,1.075,1,0,0,19512,42416
119571,0,0.12,190870,0,1.166,1,0,0,26683,43073
121280,0,0.00,2968,0,0.595,0,0,0,0,2576
12155,0,0.00,3069,0,0.937,0,0,0,0,2680
12221,0,0.09,189129,0,1.135,1,0,0,22808,42940
122305,0,0.06,190519,0,1.069,1,0,0,6450,43130
123077,0,0.08,186290,0,1.077,1,0,0,19866,42721
12359,0,0.09,183878,0,1.137,1,0,0,19983,42337
125091,0,0.06,179411,0,1.26,1,0,0,9170,41898
128398,0,0.08,184017,0,1.229,1,0,0,10520,41898
129405,0,0.12,183278,0,1.452,1,0,0,19435,42258
13053,0,0.00,2968,0,0.579,0,0,0,0,2576
13086,0,0.08,184303,0,1.151,1,0,0,23709,42096
132782,0,0.10,185229,0,1.076,1,0,0,6320,42632
133380,0,0.19,181911,0,1.317,0,0,0,22596,42147
134290,0,0.00,3170,0,0.562,0,0,0,0,2784
135549,0,0.06,181795,0,1.08,1,0,0,6698,41996
138180,0,0.06,192277,0,1.205,1,0,0,6623,43447
138809,0,0.00,3069,0,0.596,0,0,0,0,2680
140092,0,0.07,190143,0,1.254,1,0,0,17234,43435
142782,0,0.07,187820,0,1.137,1,0,0,11106,43081
143140,0,0.09,188688,0,1.122,1,0,0,11072,42704
143364,0,0.08,183677,0,1.237,1,0,0,17291,42329
143482,0,0.00,2968,0,0.58,0,0,0,0,2576
143670,0,0.00,2968,0,0.623,0,0,0,0,2576
143846,0,0.10,186798,0,1.237,1,0,0,16980,42266
145188,0,0.00,2968,0,0.61,0,0,0,0,2576
14600,0,0.06,184441,0,1.315,1,0,0,8649,41907
146751,0,0.06,179223,0,1.159,1,0,0,8129,41523
146792,0,0.00,2968,0,0.586,0,0,0,0,2576
146891,0,0.08,177163,0,1.191,1,0,0,19909,41119
147715,0,0.00,2968,0,0.525,0,0,0,0,2576
148461,0,0.00,2968,0,0.523,0,0,0,0,2576
148683,0,0.07,184556,0,1.255,1,0,0,16140,42441
150646,0,0.00,2968,0,0.586,0,0,0,0,2576
150672,0,0.07,189574,0,1.382,1,0,0,18163,42933
15092,0,0.00,3069,0,0.662,0,0,0,0,2680
151225,0,0.08,178121,0,1.331,1,0,0,8431,41007
154740,0,0.00,2968,0,0.64,0,0,0,0,2576
15526,0,0.07,181917,0,1.369,1,0,0,14495,41527
15706,0,0.00,3069,0,0.606,0,0,0,0,2680
157696,0,0.05,180716,0,1.174,1,0,0,7414,41407
15795,0,0.00,3069,0,0.588,0,0,0,0,2680
15838,0,0.00,2968,0,0.525,0,0,0,0,2576
16101,0,0.06,180267,0,1.134,1,0,0,9610,41939
16113,0,0.06,186587,0,1.008,1,0,0,6845,42753
161248,0,0.06,192829,0,1.167,1,0,0,8426,43474
162682,0,0.07,183306,0,1.139,1,0,0,16201,41827
162736,0,0.00,2968,0,0.601,0,0,0,0,2576
163239,0,0.07,187499,0,1.095,1,0,0,13704,42639
163343,0,0.00,2968,0,0.729,0,0,0,0,2576
163584,0,0.07,188571,0,1.19,1,0,0,11366,42722
166178,0,0.09,186973,0,1.079,1,0,0,23396,42792
166236,0,0.06,187272,0,1.201,1,0,0,9101,42894
169109,0,0.00,2968,0,0.55,0,0,0,0,2576
169308,0,0.08,191279,0,1.114,1,0,0,16974,43288
170071,0,0.00,2968,0,0.571,0,0,0,0,2576
170104,0,0.09,186593,0,1.18,1,0,0,20258,42310
170199,0,0.08,183433,0,1.301,1,0,0,13469,42289
171519,0,0.06,190265,0,1.261,1,0,0,6660,43024
171777,0,0.00,3069,0,0.598,0,0,0,0,2680
174732,0,0.00,2968,0,0.604,0,0,0,0,2576
176104,0,0.07,180186,0,1.272,1,0,0,10943,41229
177174,0,0.00,2968,0,0.536,0,0,0,0,2576
179059,0,0.08,192343,0,1.155,1,0,0,16846,43415
179811,0,0.06,185303,0,1.15,1,0,0,9239,42658
179856,0,0.06,176794,0,1.245,1,0,0,8438,40893
180044,0,0.10,181239,0,1.176,1,0,0,18366,41895
180688,0,0.08,184829,0,1.125,1,0,0,25474,42071
182064,0,0.00,2968,0,0.9,0,0,0,0,2576
182636,0,0.06,193546,0,1.183,1,0,0,6995,43691
183107,0,0.00,2968,0,0.691,0,0,0,0,2576
183713,0,0.07,182913,0,1.234,1,0,0,18893,41649
185022,0,0.00,2968,0,0.635,0,0,0,0,2576
185302,0,0.08,183365,0,1.036,1,0,0,9046,42141
186289,0,0.00,2968,0,0.583,0,0,0,0,2576
186782,0,0.08,189400,0,1.288,1,0,0,16627,42840
188209,0,0.00,3069,0,0.56,0,0,0,0,2680
188365,0,0.07,184976,0,1.421,1,0,0,11049,42120
19001,0,0.07,180149,0,1.24,1,0,0,8898,41724
190140,0,0.07,172457,0,1.072,1,0,0,13335,40563
191031,0,0.00,2968,0,0.542,0,0,0,0,2576
191183,0,0.00,2968,0,0.534,0,0,0,0,2576
192227,0,0.00,2968,0,0.605,0,0,0,0,2576
192867,0,0.14,190723,0,1.319,1,0,0,46171,43031
193049,0,0.10,189963,0,1.154,1,0,0,21322,42871
193445,0,0.08,191584,0,1.19,1,0,0,21773,43269
193598,0,0.00,2968,0,0.657,0,0,0,0,2576
193601,0,0.11,185300,0,1.068,1,0,0,7474,42500
193853,0,0.06,188994,0,1.211,1,0,0,11472,42757
194088,0,0.00,2968,0,0.539,0,0,0,0,2576
194687,0,0.06,190327,0,1.057,1,0,0,7875,43118
194751,0,0.06,185042,0,1.049,1,0,0,9002,42149
194824,0,0.06,191137,0,1.12,1,0,0,7477,43183
196693,0,0.00,2968,0,0.541,0,0,0,0,2576
196942,0,2.54,185723,0,1.291,0,0,0,182323,42355
1978,0,0.07,183231,0,1.072,1,0,0,10862,42516
198874,0,0.00,2968,0,0.504,0,0,0,0,2576
201627,0,0.07,186152,0,1.173,1,0,0,9755,42378
20178,0,0.06,188451,0,1.221,1,0,0,8314,42827
201891,0,0.06,192731,0,1.244,1,0,0,7558,43498
204045,0,0.15,180996,0,1.168,1,0,0,22485,41888
204522,0,0.07,189476,0,1.153,1,0,0,14948,43330
20474,0,0.09,185926,0,1.168,1,0,0,17948,42209
205281,0,0.00,2968,0,0.598,0,0,0,0,2576
20741,0,0.08,192075,0,1.106,1,0,0,18866,43473
207565,0,0.07,189690,0,1.064,1,0,0,17110,42949
209094,0,0.06,180520,0,1.124,1,0,0,8339,41469
209230,0,0.00,3069,0,0.61,0,0,0,0,2680
21103,0,0.00,2968,0,0.551,0,0,0,0,2576
211963,0,0.00,2968,0,0.585,0,0,0,0,2576
213103,0,0.00,3069,0,0.563,0,0,0,0,2680
214175,0,0.14,182548,0,1.059,1,0,0,21419,41897
214545,0,0.07,178914,0,1.103,1,0,0,9827,41677
21465,0,0.12,173472,0,1.214,1,0,0,17023,40118
214671,0,0.00,2968,0,0.702,0,0,0,0,2576
214751,0,0.06,185874,0,1.136,1,0,0,7493,42589
216035,0,0.00,2968,0,0.608,0,0,0,0,2576
216040,0,0.08,185228,0,1.138,1,0,0,24183,41947
217998,0,0.07,187552,0,1.354,1,0,0,9397,42569
218019,0,0.07,187802,0,1.086,1,0,0,12526,42489
218429,0,0.07,182152,0,1.133,1,0,0,14698,42155
219246,0,0.00,2968,0,0.733,0,0,0,0,2576
221776,0,0.07,193087,0,1.103,1,0,0,8339,43505
22222,0,0.07,183496,0,1.247,1,0,0,18262,42248
222478,0,0.07,192456,0,1.146,1,0,0,9354,43510
222989,0,0.07,185134,0,1.296,1,0,0,9557,42528
224042,0,0.00,2968,0,0.519,0,0,0,0,2576
224067,0,0.08,186501,0,1.199,1,0,0,18829,42439
224906,0,0.11,190891,0,1.086,1,0,0,27035,43088
226969,0,0.00,3069,0,0.495,0,0,0,0,2680
227115,0,0.00,3069,0,0.755,0,0,0,0,2680
22816,0,0.00,2968,0,0.582,0,0,0,0,2576
229029,0,0.00,3069,0,0.58,0,0,0,0,2680
229288,0,0.00,2968,0,0.539,0,0,0,0,2576
230173,0,0.08,190405,0,1.175,1,0,0,15807,42945
23121,0,0.08,190357,0,1.22,1,0,0,14882,43012
231331,0,0.07,183852,0,1.172,1,0,0,7076,42263
232668,0,0.08,183709,0,1.151,1,0,0,22807,42413
232968,0,0.00,2968,0,0.597,0,0,0,0,2576
23299,0,0.00,2968,0,0.548,0,0,0,0,2576
233732,0,0.10,192175,0,1.11,1,0,0,20327,43475
234028,0,0.00,2968,0,0.745,0,0,0,0,2576
23555,0,0.06,178907,0,1.295,1,0,0,7121,41392
2360,0,0.07,189545,0,1.286,1,0,0,9112,42811
236842,0,0.09,185541,0,1.268,1,0,0,23022,42159
237537,0,0.00,2968,0,0.65,0,0,0,0,2576
237585,0,0.09,186768,0,1.08,1,0,0,14717,42896
238512,0,0.14,186456,0,1.234,1,0,0,15622,42448
238965,0,0.00,3170,0,0.536,0,0,0,0,2784
240466,0,0.00,2968,0,0.569,0,0,0,0,2576
241348,0,0.00,3069,0,0.585,0,0,0,0,2680
2419,0,0.00,3069,0,0.486,0,0,0,0,2680
