seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
1,0,0.00,2968,0,0.665,0,0,0,0,2576
10,0,0.07,188928,0,1.27,1,0,0,14247,42797
100,0,0.07,193435,0,1.148,1,0,0,9418,43630
1000,0,0.00,3170,0,0.701,0,0,0,0,2784
10000,0,0.06,178029,0,1.368,1,0,0,7741,41082
1001,0,0.00,3069,0,0.672,0,0,0,0,2680
1002,0,0.08,190256,0,1.297,1,0,0,9679,42922
1003,0,0.06,189076,0,1.2,1,0,0,8281,42755
1004,0,0.07,187476,0,1.066,1,0,0,17525,42891
1005,0,0.08,186169,0,1.137,1,0,0,7064,42754
1006,0,0.06,181309,0,1.209,1,0,0,9688,41770
1007,0,0.07,192975,0,1.024,1,0,0,15680,43485
1008,0,0.06,190115,0,1.09,1,0,0,7777,43022
1009,0,0.07,181052,0,1.144,1,0,0,18733,41751
101,0,0.07,179377,0,1.122,1,0,0,15463,41497
1010,0,0.07,186215,0,1.197,1,0,0,14500,42572
1011,0,0.08,192883,0,1.055,1,0,0,18142,43517
1012,0,0.08,187538,0,1.083,1,0,0,19160,43007
1013,0,0.06,185489,0,1.116,1,0,0,7857,42597
1014,0,0.07,190232,0,1.092,1,0,0,9052,43045
1015,0,0.08,188152,0,1.184,1,0,0,10360,42601
1016,0,0.12,189726,0,1.194,1,0,0,22106,43066
1017,0,0.08,191575,0,1.135,1,0,0,16573,43347
1018,0,0.08,182918,0,1.073,1,0,0,21822,42213
1019,0,0.08,178378,0,1.292,1,0,0,17773,41495
102,0,0.06,181069,0,1.152,1,0,0,10085,41256
1020,0,0.07,193998,0,1.112,1,0,0,9594,43636
1021,0,0.08,191597,0,1.209,1,0,0,10198,43347
1022,0,0.08,186969,0,1.066,1,0,0,20538,42469
1023,0,0.06,186986,0,1.244,1,0,0,9300,42883
1024,0,0.06,177020,0,1.324,1,0,0,8417,40467
1025,0,0.11,183894,0,1.05,1,0,0,24406,42152
1026,0,0.12,185848,0,1.148,1,0,0,23064,42262
1027,0,0.00,2968,0,0.705,0,0,0,0,2576
1028,0,0.08,193841,0,1.26,1,0,0,18997,43807
1029,0,0.10,193227,0,1.084,1,0,0,17815,43510
103,0,0.07,196714,0,1.061,1,0,0,8213,44230
1030,0,0.08,186416,0,1.028,1,0,0,17349,42668
1031,0,0.06,190476,0,1.183,1,0,0,7598,43173
1032,0,0.04,151910,0,1.271,0,0,0,1795,35639
1033,0,0.18,177390,0,1.386,1,0,0,43573,40680
1034,0,0.07,191044,0,1.088,1,0,0,14313,43129
1035,0,0.08,183988,0,1.121,1,0,0,19793,42615
1036,0,0.07,191791,0,1.192,1,0,0,10351,43388
1037,0,0.09,190590,0,1.064,1,0,0,8706,43136
1038,0,0.07,192012,0,1.137,1,0,0,10778,43467
1039,0,0.08,183552,0,1.161,1,0,0,17841,42352
104,0,0.10,186722,0,1.42,1,0,0,20425,42961
1040,0,0.06,181753,0,1.034,1,0,0,6935,41799
1041,0,0.11,181138,0,1.034,1,0,0,19351,41779
1042,0,0.10,186565,0,1.054,1,0,0,10495,42279
1043,0,0.10,188164,0,1.142,1,0,0,20061,42728
1044,0,0.09,182699,0,1.186,1,0,0,8198,41933
1045,0,0.08,188692,0,1.117,1,0,0,14015,43058
1046,0,0.17,184850,0,1.031,1,0,0,30450,42010
1047,0,0.05,187670,0,1.205,1,0,0,5942,42982
1048,0,0.06,185180,0,1.24,1,0,0,6637,42658
1049,0,0.07,188756,0,1.164,1,0,0,9582,42763
105,0,0.07,190971,0,1.086,1,0,0,10673,43300
1050,0,0.08,192837,0,1.077,1,0,0,13176,43388
1051,0,0.07,182866,0,1.319,1,0,0,14163,42126
1052,0,0.07,186107,0,1.2,1,0,0,13814,42728
1053,0,0.08,190815,0,1.173,1,0,0,15834,43148
1054,0,0.09,184115,0,1.148,1,0,0,26978,42245
1055,0,0.12,188716,0,1.066,1,0,0,25437,42715
1056,0,0.06,189119,0,1.192,1,0,0,9169,43264
1057,0,0.07,181029,0,1.198,1,0,0,9760,41339
1058,0,0.07,190205,0,1.141,1,0,0,10559,42935
1059,0,0.12,191976,0,1.229,1,0,0,21096,43454
106,0,0.07,182483,0,1.368,1,0,0,14651,41989
1060,0,0.07,190421,0,1.083,1,0,0,12511,43090
1061,0,0.07,189073,0,1.07,1,0,0,9837,43411
1062,0,0.06,183411,0,1.243,1,0,0,7823,41768
1063,0,0.06,180660,0,1.683,1,0,0,7677,41693
1064,0,0.09,188405,0,1.13,1,0,0,15432,42768
1065,0,0.06,189373,0,1.109,1,0,0,6491,43217
1066,0,0.07,193682,0,1.291,1,0,0,7577,43587
1067,0,0.13,190314,0,1.142,1,0,0,36311,43141
1068,0,0.08,185004,0,1.089,1,0,0,22197,42607
1069,0,0.06,190227,0,1.088,1,0,0,6264,43066
107,0,0.08,189283,0,1.455,1,0,0,21116,43097
1070,0,0.11,186596,0,1.239,1,0,0,38219,42473
1071,0,0.07,187284,0,1.08,1,0,0,8482,42747
1072,0,0.09,187886,0,1.387,1,0,0,10930,43161
1073,0,0.10,189727,0,1.091,1,0,0,21401,42894
1074,0,0.11,192307,0,1.309,1,0,0,21989,43358
1075,0,0.05,177229,0,1.118,1,0,0,6829,41392
1076,0,0.10,188100,0,1.206,1,0,0,24869,42513
1077,0,0.00,2968,0,0.521,0,0,0,0,2576
1078,0,0.14,191280,0,1.179,1,0,0,13201,43283
1079,0,0.06,191568,0,1.082,1,0,0,7423,43319
108,0,0.10,190368,0,1.038,1,0,0,24736,43105
1080,0,0.06,187602,0,1.105,1,0,0,6103,43096
1081,0,0.11,182424,0,1.094,1,0,0,7676,41899
1082,0,0.08,192310,0,1.239,1,0,0,17747,43410
1083,0,0.07,183206,0,1.134,1,0,0,13190,42079
1084,0,0.08,193437,0,1.05,1,0,0,14261,43665
1085,0,0.07,188979,0,1.121,1,0,0,8419,43369
1086,0,0.08,188798,0,1.108,1,0,0,15836,42860
1087,0,0.06,184699,0,1.195,1,0,0,9311,42299
1088,0,0.08,178587,0,1.354,1,0,0,9270,41394
1089,0,0.07,186278,0,1.254,1,0,0,8945,42323
109,0,0.11,187557,0,1.354,1,0,0,12124,42972
