seed,SolverMemOut,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars
100768,0,0.00,544,0,1.815,0,0,0,0,104
101554,0,13.66,655674,0,4.455,1,0,0,386385,62754
102188,0,38.60,661693,0,4.747,1,0,0,1274708,63408
103576,0,36.24,660020,0,5.448,1,0,0,1271105,63795
105560,0,0.00,645,0,1.274,0,0,0,0,208
105868,0,27.16,673040,0,4.146,1,0,0,812726,65049
10636,0,22.54,670885,0,4.26,1,0,0,623861,64956
106708,0,0.00,544,0,1.263,0,0,0,0,104
107499,0,0.00,645,0,2.195,0,0,0,0,208
107924,0,23.17,665438,0,5.055,1,0,0,873405,64751
108246,0,157.18,663735,0,4.297,1,0,0,4700384,64397
108967,0,0.00,544,0,1.938,0,0,0,0,104
112229,0,6.50,659242,0,4.821,1,0,0,203959,63849
112830,0,0.00,746,0,2.311,0,0,0,0,312
112864,0,12.52,660465,0,6.31,0,0,0,299280,63746
113844,0,17.74,665192,0,4.692,1,0,0,576777,64640
113873,0,3.27,653338,0,4.548,1,0,0,115372,63582
114574,0,35.53,670611,0,4.132,1,0,0,1164280,65038
116093,0,0.00,645,0,1.385,0,0,0,0,208
116270,0,0.00,645,0,1.532,0,0,0,0,208
11680,0,0.00,645,0,1.407,0,0,0,0,208
117866,0,15.46,659394,0,4.42,1,0,0,285813,64038
118187,0,0.00,544,0,1.295,0,0,0,0,104
121098,0,26.92,653982,0,4.784,1,0,0,974798,63571
121220,0,14.20,658389,0,4.568,1,0,0,375943,63698
121280,0,0.00,544,0,2.021,0,0,0,0,104
121927,0,10.51,656054,0,6.312,1,0,0,226345,63284
122060,0,5.00,659921,0,4.413,1,0,0,167975,63505
12221,0,29.14,659183,0,5.734,1,0,0,1004207,63937
122305,0,11.42,670639,0,5.865,1,0,0,343767,64984
122928,0,0.60,658694,0,4.253,0,0,0,25485,63604
124373,0,0.00,645,0,1.777,0,0,0,0,208
124380,0,1.60,656331,0,4.267,1,0,0,42081,63631
124666,0,22.63,667655,0,4.26,1,0,0,539740,64985
125316,0,0.00,645,0,1.294,0,0,0,0,208
126949,0,26.06,678009,0,4.019,1,0,0,826418,65746
129473,0,0.00,645,0,2.607,0,0,0,0,208
129731,0,0.00,544,0,1.819,0,0,0,0,104
129793,0,0.00,645,0,1.434,0,0,0,0,208
130069,0,0.00,544,0,1.878,0,0,0,0,104
131301,0,0.00,544,0,1.703,0,0,0,0,104
132786,0,26.22,669128,0,4.401,1,0,0,869795,64883
133355,0,59.59,656497,0,4.819,0,0,0,1564892,63900
133507,0,0.35,661552,0,4.59,0,0,0,8487,64117
134349,0,3.38,668689,0,4.574,1,0,0,109870,64788
134502,0,16.65,652582,0,4.388,1,0,0,368173,63048
136487,0,0.00,544,0,1.933,0,0,0,0,104
138016,0,0.00,544,0,1.667,0,0,0,0,104
139219,0,19.15,666251,0,4.481,1,0,0,572603,64579
140092,0,31.47,675149,0,4.109,1,0,0,987159,65543
1428,0,12.29,667884,0,4.238,1,0,0,382053,64511
143482,0,0.00,544,0,1.603,0,0,0,0,104
14491,0,20.03,669684,0,5.311,1,0,0,597573,64854
144934,0,19.06,663771,0,4.59,1,0,0,643298,64372
14541,0,52.77,665722,0,4.421,1,0,0,1912088,64539
145805,0,2.80,660042,0,4.842,1,0,0,102389,63872
146422,0,0.00,746,0,2.288,0,0,0,0,312
146481,0,18.21,675797,0,4.845,1,0,0,496534,65424
146554,0,4.12,668466,0,4.396,1,0,0,168568,64911
146751,0,3.69,655214,0,4.544,1,0,0,94763,63354
146792,0,0.00,544,0,1.299,0,0,0,0,104
147546,0,0.00,544,0,2.772,0,0,0,0,104
148717,0,0.98,661162,0,4.553,1,0,0,40922,63701
149452,0,0.00,645,0,1.675,0,0,0,0,208
149523,0,3.22,674173,0,4.049,1,0,0,94438,65419
150332,0,13.59,660424,0,4.803,1,0,0,340972,64208
150380,0,0.00,544,0,1.427,0,0,0,0,104
150672,0,6.18,668286,0,4.879,1,0,0,174293,64739
154740,0,0.00,544,0,1.548,0,0,0,0,104
156211,0,11.83,658733,0,4.564,1,0,0,290268,63681
15838,0,0.00,544,0,1.315,0,0,0,0,104
15925,0,0.00,544,0,1.593,0,0,0,0,104
159817,0,0.00,645,0,1.812,0,0,0,0,208
160379,0,5.85,660748,0,4.072,1,0,0,165447,64136
160462,0,10.83,661167,0,5.226,0,0,0,304711,64343
160962,0,0.00,645,0,2.303,0,0,0,0,208
16113,0,11.75,670036,0,5.76,1,0,0,338841,64853
162401,0,0.00,645,0,1.477,0,0,0,0,208
163239,0,18.67,668404,0,4.914,1,0,0,610020,64512
163343,0,0.00,544,0,1.648,0,0,0,0,104
163983,0,19.27,652769,0,5.151,1,0,0,543227,63157
166178,0,18.19,664230,0,4.498,1,0,0,545071,64310
166236,0,28.71,669454,0,4.641,1,0,0,825028,64769
166920,0,0.00,544,0,1.49,0,0,0,0,104
167122,0,12.96,667905,0,4.309,1,0,0,359821,64873
173692,0,10.75,657886,0,4.131,1,0,0,248916,63672
174682,0,0.00,544,0,1.441,0,0,0,0,104
174732,0,0.00,544,0,2.538,0,0,0,0,104
174912,0,20.03,653700,0,4.616,1,0,0,575772,63557
176104,0,17.07,652288,0,5.151,1,0,0,570990,62850
177271,0,0.00,544,0,1.556,0,0,0,0,104
177600,0,25.00,666312,0,4.404,1,0,0,742229,64464
179059,0,7.68,664417,0,4.647,0,0,0,212666,64200
179811,0,57.25,662359,0,4.723,1,0,0,1930278,64357
180068,0,3.16,660169,0,4.628,1,0,0,104161,63839
181206,0,10.94,668699,0,4.91,1,0,0,277462,64809
181333,0,3.08,664927,0,4.72,1,0,0,71687,64250
182636,0,3.00,673165,0,4.244,1,0,0,104245,65471
184057,0,3.59,663692,0,4.263,1,0,0,112714,64192
